City,State,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Byrnihat,Meghalaya,174.4,183.7,153.3,140.0,105.7,88.4,90.0,86.0,68.6,87.4,146.0,193.7
Delhi,Delhi,219.3,110.3,76.8,64.6,84.4,52.6,39.6,26.6,42.8,120.1,276.5,185.9
Mullanpur,Punjab,123.3,111.2,79.6,47.2,67.0,53.1,72.3,42.5,62.2,142.7,302.5,146.0
Faridabad,Haryana,211.3,116.0,107.4,130.9,188.9,100.3,54.2,29.7,36.8,57.8,119.8,74.3
Loni,Uttar Pradesh,135.7,81.2,60.1,56.9,68.7,63.4,54.7,32.9,58.5,134.5,235.7,120.1
New Delhi,Delhi,190.4,91.0,66.4,52.8,75.4,49.9,34.6,24.5,37.8,99.6,224.0,152.1
Gurugram,Haryana,138.8,104.8,86.2,96.6,86.2,65.6,49.6,39.4,43.2,79.9,146.2,113.8
Ganganagar,Rajasthan,159.4,104.8,64.6,65.7,102.1,78.6,53.9,55.8,69.9,52.5,127.3,93.6
Greater Noida,Uttar Pradesh,168.9,108.5,72.8,68.6,92.1,59.2,37.6,26.0,42.0,87.5,135.7,105.1
Bhiwadi,Rajasthan,128.2,91.7,74.4,78.7,103.4,77.7,49.7,33.8,40.2,88.3,142.2,85.7
Muzaffarnagar,Uttar Pradesh,134.5,114.7,82.7,74.2,99.9,66.3,51.5,36.7,47.3,100.9,113.7,71.0
Hanumangarh,Rajasthan,165,119.3,80.6,50.4,70.3,57.6,25.3,15.9,45.0,73.3,125.6,84.5
Noida,Uttar Pradesh,173.3,94.5,59.9,52.2,72.5,45.1,31.1,25.6,39.7,92.9,147.2,119.7
Ballabgarh,Haryana,124.7,94.5,83.8,88.4,93.6,81.1,41.2,30.8,35.0,76.1,116.3,70.5
Mandi Gobindgarh,Punjab,87.6,77.5,77.2,82.5,94.6,99.4,58.5,49.4,60.2,76.6,105.2,71.8
Bahadurgarh,Haryana,117.7,73.0,66.2,47.2,84.3,70.5,34.7,22.3,30.7,82.8,162.9,145.8
Faridabad,Haryana,126,76.7,73.8,75.6,98.9,76.7,52.6,37.1,35.1,63.0,111.4,90.5
Bhagalpur,Bihar,206,110.9,74.6,66.1,59.0,62.5,35.8,37.0,31.4,51.9,91.5,86.2
Araria,Bihar,152.6,131.1,49.8,54.1,34.5,23.3,31.7,53.7,49.9,50.4,92.7,89.4
Ghaziabad,Uttar Pradesh,152,74.4,50.5,50.1,62.0,39.0,34.6,26.7,44.0,100.3,153.1,107.0
Charkhi Dadri,Haryana,78.2,66.3,63.7,77.0,81.3,90.8,51.1,27.2,43.8,84.8,134.9,94.6
Patna,Bihar,130.7,84.5,70.7,91.3,72.3,57.2,30.5,29.4,33.5,67.3,106.9,110.9
Rohtak,Haryana,104.8,53.7,53.9,69.6,83.6,115.8,52.2,27.0,39.6,64.2,121.5,94.2
Durgapur,West Bengal,94,67.7,61.6,93.4,57.6,59.3,37.3,39.5,35.8,71.9,121.6,128.9
Asansol,West Bengal,104.7,84.1,69.2,92.3,69.2,55.4,28.8,32.8,34.5,64.9,110.5,121.4
Hajipur,Bihar,81.1,60.5,43.9,56.1,57.3,66.3,38.4,34.7,44.4,79.8,163.5,137.7
Singrauli,Madhya Pradesh,96.1,71.0,59.8,71.2,75.3,48.7,35.1,31.3,42.0,83.0,120.1,108.8
Chhapra,Bihar,153.6,107.6,81.4,89.6,56.4,34.6,16.7,36.6,41.4,38.7,87.7,76.8
Chandigarh,Chandigarh,160.1,83.3,57.4,44.5,62.5,48.3,31.6,18.7,30.3,69.6,130.9,100.1
Dharuhera,Haryana,79.7,67.5,63.6,60.1,84.9,66.5,47.0,35.4,34.5,75.1,134.5,71.2
Saharsa,Bihar,188.1,97.3,54.2,50.9,47.2,30.1,14.7,24.8,18.3,27.0,110.9,99.6
Angul,Odisha,146.7,100.6,79.3,82.3,50.4,41.5,28.9,22.7,27.9,43.2,82.9,96.0
Muzaffarpur,Bihar,117.4,87.8,69.3,94.3,58.5,45.6,28.3,22.9,26.4,54.7,106.7,93.8
Baddi,Himachal Pradesh,162.5,88.5,56.8,32.7,57.9,51.9,45.2,30.5,40.9,71.7,98.3,74.9
Hapur,Uttar Pradesh,101.1,132.7,52.5,42.2,51.3,31.0,27.8,20.7,35.2,98.4,151.0,54.6
Bhiwani,Haryana,80.4,60.9,65.3,69.8,78.5,54.7,25.2,29.0,42.9,77.8,140.4,69.2
Munger,Bihar,88.5,70.4,79.5,70.1,55.6,76.4,75.0,20.2,19.8,50.7,87.8,83.2
Talcher,Odisha,127.1,84.9,63.9,87.6,44.2,36.3,23.1,27.6,31.4,51.6,97.1,92.3
Manesar,Haryana,102.7,74.4,52.8,55.1,69.8,55.7,32.7,31.4,47.2,74.2,109.5,79.6
Agartala,Tripura,127.6,104.8,80.7,63.3,45.7,32.5,21.1,22.5,25.6,43.9,68.3,110.0
Panipat,Haryana,71.2,56.4,65.3,48.0,63.8,69.6,44.0,44.6,46.0,70.5,106.8,78.5
Dholpur,Rajasthan,134.2,98.5,79.8,43.7,47.8,55.6,68.8,25.0,32.4,38.1,64.8,67.1
Nalbari,Assam,150.4,116.5,81.2,53.8,32.5,29.8,21.8,31.1,39.6,33.9,37.9,92.3
Hisar,Haryana,79.1,65.7,47.8,43.9,68.7,56.8,29.3,21.2,35.4,76.3,123.9,92.4
Siwan,Bihar,80,70.1,70.9,31.9,66.5,49.9,37.3,58.3,64.0,37.6,79.6,70.6
Buxar,Bihar,--,115.9,61.6,48.3,99.1,80.8,29.3,22.0,17.2,50.5,101.6,64.8
Ludhiana,Punjab,83.3,53.4,44.6,47.0,63.8,73.2,43.5,37.4,44.4,63.9,108.5,67.8
Pali,Rajasthan,92.1,46.2,64.8,59.5,62.0,50.5,39.6,27.1,35.9,54.2,72.2,102.4
Bulandshahr,Uttar Pradesh,106.7,70.4,46.7,47.4,57.3,41.7,25.0,17.3,27.6,75.5,120.5,81.3
Purnia,Bihar,109.8,81.8,45.3,34.8,35.5,30.3,39.5,22.1,36.9,63.1,83.2,88.1
Panchkula,Haryana,85.8,41.6,33.9,45.3,88.2,84.5,41.2,24.2,38.5,64.8,92.8,63.8
Mandideep,Madhya Pradesh,62.1,80.3,69.5,45.8,57.3,41.9,19.4,18.5,29.7,68.6,126.0,98.8
Meerut,Uttar Pradesh,102.9,56.6,40.2,36.6,55.8,33.4,26.5,18.3,33.3,89.1,132.6,77.3
Barrackpore,West Bengal,107.3,83.1,55.9,58.7,27.3,31.0,23.9,37.0,34.7,45.1,97.1,116.4
Bhiwadi,Rajasthan,--,62.7,39.8,47.8,77.9,44.1,34.5,22.8,38.2,68.6,129.1,74.9
Sonipat,Haryana,104.1,63.7,30.3,27.9,50.9,61.2,24.1,16.9,20.5,76.3,141.9,73.2
Rajgir,Bihar,151.8,67.6,49.5,29.3,38.3,54.5,15.2,11.8,31.0,53.2,86.4,70.1
Amritsar,Punjab,72.2,56.7,36.8,46.6,62.5,67.8,41.7,34.9,34.4,58.5,109.9,62.9
Howrah,West Bengal,106.2,71.1,50.8,51.0,27.8,28.6,21.1,26.4,29.2,45.7,108.1,120.7
Kurukshetra,Haryana,87.2,56.7,36.7,46.5,70.5,63.7,28.2,19.9,28.9,82.2,102.5,60.5
Yamuna Nagar,Haryana,72.3,68.0,46.1,47.5,61.1,56.9,30.0,22.6,27.8,77.8,96.4,68.5
Samastipur,Bihar,92.6,86.3,51.0,64.6,51.8,24.0,42.1,59.2,20.9,28.9,92.1,62.9
Bikaner,Rajasthan,131.1,62.1,37.5,29.3,47.2,56.3,26.4,18.6,24.4,47.3,113.3,74.6
Lucknow,Uttar Pradesh,83.3,52.3,51.4,55.3,61.9,51.5,24.1,22.8,26.1,55.0,104.1,79.5
Jhunjhunun,Rajasthan,98.2,69.3,42.8,30.9,46.2,52.0,20.8,13.8,22.5,54.2,118.1,94.7
Aurangabad,Maharashtra,76.8,78.4,41.7,36.1,37.0,39.4,46.7,39.0,18.5,32.0,74.6,97.5
Tonk,Rajasthan,95.8,75.6,54.2,32.9,33.9,27.8,15.3,11.4,23.8,55.0,100.4,92.4
Jind,Haryana,74.8,53.8,34.5,33.8,54.1,43.9,20.8,15.1,29.6,77.3,137.5,77.4
Jaipur,Rajasthan,103,58.4,38.8,38.8,50.7,41.0,26.6,21.8,28.9,61.4,94.2,81.1
Gwalior,Madhya Pradesh,102,68.5,52.2,37.4,45.4,30.0,17.4,18.1,25.0,53.3,107.1,86.8
Kota,Rajasthan,119.4,68.4,48.4,37.4,40.3,29.8,24.0,20.1,21.3,49.9,90.9,92.7
Chittorgarh,Rajasthan,87.7,50.7,41.4,37.0,48.6,46.5,40.2,33.8,50.0,44.3,80.7,78.0
Kaithal,Haryana,80.2,55.0,39.2,34.1,54.6,40.4,32.4,19.4,29.0,82.0,109.8,66.8
Guwahati,Assam,126.7,93.3,81.0,60.5,34.9,22.8,15.4,25.7,26.5,30.0,43.0,79.7
Gummidipoondi,Tamil Nadu,89.9,62.7,50.8,36.4,26.5,36.1,47.6,37.9,48.0,59.4,81.6,63.0
Bada Barabil,Odisha,96,63.6,64.4,66.5,49.4,38.6,19.8,18.4,17.9,46.2,76.6,72.8
Udaipur,Rajasthan,70.6,67.0,60.0,52.2,49.9,43.0,31.2,25.2,31.6,51.3,65.4,83.8
Churu,Rajasthan,95.8,57.3,36.2,25.9,39.0,37.8,19.1,20.3,28.9,44.4,119.2,97.6
Khurja,Uttar Pradesh,55.2,36.7,47.1,46.4,54.4,43.2,33.7,26.0,33.0,78.5,99.3,72.4
Parbhani,Maharashtra,52.5,48.8,81.4,54.9,40.6,26.6,16.9,19.6,25.6,48.1,98.5,66.3
Bettiah,Bihar,41.6,37.3,69.9,76.7,60.6,30.4,14.1,18.5,22.9,64.3,79.1,55.4
Jalna,Maharashtra,65.8,57.5,79.5,31.3,29.9,28.2,37.8,47.8,65.9,53.3,78.7,47.8
Sikar,Rajasthan,109.5,61.4,35.4,30.4,38.4,34.1,19.4,19.5,22.1,52.9,105.4,90.4
Katihar,Bihar,99.6,69.0,49.4,30.5,23.8,24.9,12.8,25.3,28.7,51.5,85.0,91.5
Gorakhpur,Uttar Pradesh,68.3,54.5,59.8,53.1,60.5,48.2,25.0,29.7,30.5,69.4,67.0,49.9
Arrah,Bihar,148.4,68.4,44.0,37.9,33.0,25.2,21.1,22.4,18.0,25.1,48.9,72.5
Balasore,Odisha,148.6,81.7,44.9,46.4,15.7,18.6,27.1,22.5,15.2,30.6,74.2,85.8
Ulhasnagar,Maharashtra,84.2,68.5,63.6,59.6,39.8,29.0,22.5,24.5,30.8,49.1,82.7,66.9
Malegaon,Maharashtra,58.6,65.2,68.0,62.1,58.3,30.9,22.0,21.6,24.6,52.6,95.5,59.5
Rourkela,Odisha,74.6,65.4,58.4,65.4,49.1,50.8,23.3,23.7,22.8,39.5,71.6,72.7
Ahmedabad,Gujarat,64.8,58.2,60.5,56.5,56.4,40.6,30.3,24.0,32.1,56.8,69.5,61.9
Barbil,Odisha,90,67.4,57.7,75.3,43.0,32.6,14.3,24.3,30.9,39.3,67.5,70.1
Baripada,Odisha,111.8,94.2,65.7,81.4,28.2,31.0,18.0,21.7,16.3,31.5,54.0,67.8
Karauli,Rajasthan,126,97.3,31.8,34.8,29.9,46.6,21.9,10.1,22.4,46.5,80.6,37.3
Bharatpur,Rajasthan,92.4,29.4,49.6,82.5,73.7,48.2,15.3,7.4,15.3,50.9,84.0,57.4
